,Data_Source,Date,compound,neg,neu,pos,tweet
0,@BBC,2017-12-11,-0.4019,0.231,0.769,0.0,100
1,@BBC,2017-12-11,0.0,0.0,1.0,0.0,99
2,@BBC,2017-12-11,0.4939,0.0,0.849,0.151,98
3,@BBC,2017-12-11,-0.5574,0.135,0.865,0.0,97
4,@BBC,2017-12-11,0.0,0.0,1.0,0.0,96
5,@BBC,2017-12-11,0.34,0.0,0.888,0.112,95
6,@BBC,2017-12-11,0.4939,0.0,0.814,0.186,94
7,@BBC,2017-12-11,0.128,0.0,0.933,0.067,93
8,@BBC,2017-12-11,-0.5574,0.146,0.854,0.0,92
9,@BBC,2017-12-11,0.0,0.0,1.0,0.0,91
10,@BBC,2017-12-11,0.0,0.0,1.0,0.0,90
11,@BBC,2017-12-11,0.0,0.0,1.0,0.0,89
12,@BBC,2017-12-11,0.4199,0.0,0.872,0.128,88
13,@BBC,2017-12-11,0.4588,0.0,0.85,0.15,87
14,@BBC,2017-12-11,0.0,0.0,1.0,0.0,86
15,@BBC,2017-12-11,0.7177,0.0,0.667,0.333,85
16,@BBC,2017-12-11,0.0,0.0,1.0,0.0,84
17,@BBC,2017-12-11,-0.296,0.104,0.896,0.0,83
18,@BBC,2017-12-11,0.2023,0.0,0.887,0.113,82
19,@BBC,2017-12-11,0.0,0.0,1.0,0.0,81
20,@BBC,2017-12-11,-0.743,0.296,0.704,0.0,80
21,@BBC,2017-12-11,0.0,0.0,1.0,0.0,79
22,@BBC,2017-12-11,-0.4215,0.128,0.872,0.0,78
23,@BBC,2017-12-11,0.0,0.0,1.0,0.0,77
24,@BBC,2017-12-11,0.6124,0.064,0.738,0.198,76
25,@BBC,2017-12-11,0.0,0.0,1.0,0.0,75
26,@BBC,2017-12-11,0.0258,0.132,0.696,0.172,74
27,@BBC,2017-12-11,-0.34,0.124,0.876,0.0,73
28,@BBC,2017-12-11,0.5574,0.0,0.805,0.195,72
29,@BBC,2017-12-11,0.0,0.0,1.0,0.0,71
30,@BBC,2017-12-11,0.5859,0.0,0.821,0.179,70
31,@BBC,2017-12-11,0.0,0.0,1.0,0.0,69
